trade_time,price,direction,idx,resonance_score,gravity,vol_div,macd_div,day_chg,detail
2026-07-20 09:34:00,1.92,买入,3,1,1,0,0,5.57,均线引力(dev=-0.47%)
2026-07-20 09:44:00,1.94,卖出,13,1,-1,0,0,6.84,均线引力(dev=0.74%)
2026-07-20 13:39:00,1.97,卖出,158,1,-1,0,0,8.77,均线引力(dev=1.64%) + 价格天花板(新高dev=1.64%)
2026-07-20 13:47:00,1.99,卖出,166,1,-1,0,0,9.59,均线引力(dev=2.30%) + 价格天花板(新高dev=2.30%)
2026-07-20 14:24:00,1.99,卖出,203,1,-1,0,0,9.81,均线引力(dev=2.24%) + 价格天花板(新高dev=2.24%)
2026-07-20 14:33:00,2.0,卖出,212,1,-1,0,0,9.98,均线引力(dev=2.35%) + 价格天花板(新高dev=2.35%)
