symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000663.SZ,strict,764,457,307,-0.014,0.0007,-0.0408
000663.SZ,floor,843,470,373,0.0006,0.0135,-0.0177
000663.SZ,resonance,1001,637,364,0.0043,0.0192,-0.0059
000665.SZ,strict,490,294,196,-0.0676,-0.0431,-0.0793
000665.SZ,floor,545,306,239,-0.0464,-0.0224,-0.0418
000665.SZ,resonance,753,531,222,-0.0257,-0.0065,0.0008
000669.SZ,strict,424,243,181,-0.0035,-0.0003,0.0384
000669.SZ,floor,522,265,257,0.0101,0.0371,0.0714
000669.SZ,resonance,639,425,214,0.0451,0.0179,0.057
000670.SZ,strict,97,55,42,-0.1421,-0.1641,-0.2029
000670.SZ,floor,134,58,76,-0.0485,-0.0286,0.0005
000670.SZ,resonance,137,93,44,-0.1453,-0.1425,-0.2506
000677.SZ,strict,448,248,200,-0.0051,-0.0239,-0.0483
000677.SZ,floor,569,269,300,-0.0005,0.0134,-0.0429
000677.SZ,resonance,646,411,235,0.0254,-0.0035,-0.0283
000678.SZ,strict,656,398,258,-0.0065,-0.0009,-0.0417
000678.SZ,floor,774,425,349,0.011,0.0299,-0.0007
000678.SZ,resonance,919,630,289,0.0173,0.0123,0.003
000680.SZ,strict,814,473,341,-0.0063,0.0099,-0.0326
000680.SZ,floor,904,489,415,0.0005,0.0137,-0.0329
000680.SZ,resonance,1040,676,364,-0.0027,0.0168,-0.0119
000681.SZ,strict,829,480,349,-0.0023,-0.015,-0.0047
000681.SZ,floor,948,502,446,0.0266,0.0007,0.0149
000681.SZ,resonance,1069,692,377,0.0238,0.0066,0.0071
000683.SZ,strict,817,463,354,0.0087,0.0163,-0.0408
000683.SZ,floor,917,479,438,0.0123,0.0273,-0.0271
000683.SZ,resonance,1009,630,379,0.0233,0.0341,-0.034
000686.SZ,strict,617,364,253,-0.029,-0.025,-0.0589
000686.SZ,floor,649,369,280,-0.0216,-0.0235,-0.0578
000686.SZ,resonance,900,597,303,-0.0042,0.0039,-0.0387
000688.SZ,strict,1112,637,475,-0.0046,-0.0345,-0.0468
000688.SZ,floor,1386,700,686,-0.0098,-0.0272,-0.0123
000688.SZ,resonance,1210,733,477,-0.017,-0.05,-0.0717
000692.SZ,strict,86,51,35,-0.0494,0.0023,-0.0066
000692.SZ,floor,102,55,47,-0.0324,0.0187,0.0218
000692.SZ,resonance,125,82,43,0.0586,0.0985,0.1404
000698.SZ,strict,457,256,201,-0.0082,-0.0102,-0.0167
000698.SZ,floor,501,265,236,0.0002,-0.0002,0.0032
000698.SZ,resonance,658,425,233,0.0411,0.0351,0.0179
000700.SZ,strict,853,523,330,-0.0012,0.0401,-0.0046
000700.SZ,floor,1027,555,472,0.0043,0.0383,0.0196
000700.SZ,resonance,1074,692,382,0.013,0.0593,0.0488
000701.SZ,strict,649,378,271,-0.0066,0.0026,-0.0268
000701.SZ,floor,740,392,348,-0.0027,0.0068,-0.0242
000701.SZ,resonance,896,590,306,0.0173,-0.0,-0.0224
000702.SZ,strict,683,403,280,-0.0479,-0.0425,-0.0923
000702.SZ,floor,762,411,351,-0.0356,-0.039,-0.0862
000702.SZ,resonance,937,622,315,0.0075,0.0105,-0.0129
000703.SZ,strict,963,532,431,0.0096,-0.0225,-0.0222
000703.SZ,floor,1176,568,608,0.0008,-0.0414,-0.0468
000703.SZ,resonance,1066,628,438,0.0156,0.0041,-0.0084
000707.SZ,strict,610,373,237,-0.0084,0.0013,-0.0146
000707.SZ,floor,657,387,270,-0.0051,0.0011,-0.0137
000707.SZ,resonance,879,593,286,0.0162,0.0232,0.0081
000708.SZ,strict,919,502,417,0.0031,0.0042,0.0141
000708.SZ,floor,945,504,441,0.0049,0.0096,0.0215
000708.SZ,resonance,1040,612,428,0.0127,0.0015,0.0112
000709.SZ,strict,350,170,180,0.1058,0.0953,0.1053
000709.SZ,floor,381,174,207,0.1068,0.096,0.1167
000709.SZ,resonance,512,336,176,0.1286,0.1195,0.1514
000711.SZ,strict,376,196,180,0.095,0.152,0.1412
000711.SZ,floor,524,229,295,0.0363,0.0746,0.0152
000711.SZ,resonance,521,312,209,0.1102,0.1859,0.0674
000712.SZ,strict,644,382,262,-0.0569,-0.0796,-0.0876
000712.SZ,floor,707,397,310,-0.0359,-0.0565,-0.0649
000712.SZ,resonance,939,620,319,-0.0224,-0.0233,-0.0567
000713.SZ,strict,504,288,216,-0.0474,-0.0444,-0.0888
000713.SZ,floor,520,289,231,-0.0479,-0.0443,-0.086
000713.SZ,resonance,724,478,246,-0.011,-0.0098,-0.033
000715.SZ,strict,609,360,249,-0.0265,-0.0552,-0.0619
000715.SZ,floor,666,365,301,-0.0238,-0.0516,-0.0487
000715.SZ,resonance,862,573,289,0.0066,-0.0119,0.0064
000717.SZ,strict,406,221,185,0.0466,-0.0039,-0.0016
000717.SZ,floor,459,231,228,0.0707,0.0274,0.0311
000717.SZ,resonance,563,387,176,0.1069,0.0634,0.0933
000719.SZ,strict,751,397,354,-0.0282,-0.0209,-0.0177
000719.SZ,floor,804,398,406,-0.0187,-0.0093,-0.0024
000719.SZ,resonance,943,563,380,-0.0177,-0.0206,-0.0286
000720.SZ,strict,517,316,201,0.0346,-0.0576,0.0271
000720.SZ,floor,613,337,276,0.0528,0.0017,0.0925
000720.SZ,resonance,720,496,224,0.0229,-0.0322,0.0271
000721.SZ,strict,593,342,251,-0.0508,-0.0754,-0.0526
000721.SZ,floor,665,359,306,-0.0358,-0.0537,-0.0361
000721.SZ,resonance,883,582,301,-0.0234,-0.0416,-0.047
000722.SZ,strict,698,403,295,-0.0355,-0.0409,0.0021
000722.SZ,floor,781,418,363,-0.0231,-0.023,0.0096
000722.SZ,resonance,952,598,354,-0.0294,-0.0266,-0.0022
000726.SZ,strict,597,322,275,-0.0222,-0.0348,-0.0385
000726.SZ,floor,614,322,292,-0.0193,-0.0287,-0.0317
000726.SZ,resonance,815,507,308,0.0025,-0.0101,-0.0087
000728.SZ,strict,398,220,178,-0.0383,-0.0631,-0.0678
000728.SZ,floor,420,225,195,-0.0213,-0.0459,-0.0547
000728.SZ,resonance,556,374,182,-0.0089,-0.0134,-0.0153
000729.SZ,strict,733,401,332,0.0036,0.0276,-0.0106
000729.SZ,floor,787,408,379,0.0094,0.0301,0.0092
000729.SZ,resonance,956,593,363,0.0181,0.0183,-0.0128
000731.SZ,strict,565,343,222,-0.0309,-0.0072,-0.0301
000731.SZ,floor,652,382,270,-0.0176,-0.014,-0.0124
000731.SZ,resonance,800,527,273,0.0255,0.054,0.0561
000733.SZ,strict,1043,607,436,0.0199,0.0247,0.0175
000733.SZ,floor,1148,631,517,0.0225,0.02,0.0162
000733.SZ,resonance,1217,747,470,0.02,0.0255,0.0102
000737.SZ,strict,827,457,370,-0.0002,0.0177,-0.031
000737.SZ,floor,983,488,495,0.0113,0.0204,-0.0356
000737.SZ,resonance,1069,640,429,0.0077,-0.0103,-0.0599
000750.SZ,strict,247,128,119,-0.0072,0.0038,-0.0566
000750.SZ,floor,260,131,129,0.0024,0.0119,-0.0547
000750.SZ,resonance,359,241,118,0.0188,0.0127,-0.0296
000751.SZ,strict,638,374,264,-0.0832,-0.0933,-0.1331
000751.SZ,floor,809,413,396,-0.0616,-0.053,-0.0903
000751.SZ,resonance,848,576,272,-0.0562,-0.074,-0.089
000752.SZ,strict,569,326,243,-0.0411,-0.0013,0.001
000752.SZ,floor,643,342,301,-0.0568,-0.01,0.0051
000752.SZ,resonance,829,570,259,-0.0021,0.0109,-0.0136
000753.SZ,strict,577,361,216,-0.028,0.0045,0.0062
000753.SZ,floor,640,374,266,-0.0622,-0.0182,-0.0252
000753.SZ,resonance,872,617,255,-0.0107,-0.0005,-0.0054
000755.SZ,strict,502,262,240,-0.0203,-0.0049,0.0135
000755.SZ,floor,535,267,268,-0.0119,-0.0038,0.0004
000755.SZ,resonance,764,491,273,0.0027,0.0166,0.0192
000756.SZ,strict,665,387,278,-0.0175,-0.0181,0.006
000756.SZ,floor,718,397,321,-0.0323,-0.0345,-0.0081
000756.SZ,resonance,945,611,334,-0.0036,0.004,-0.0163
000757.SZ,strict,590,348,242,-0.0209,-0.0572,-0.0943
000757.SZ,floor,643,358,285,-0.0018,-0.0405,-0.0919
000757.SZ,resonance,838,552,286,0.0109,-0.0018,-0.0513
000758.SZ,strict,691,380,311,-0.0425,-0.0311,-0.0517
000758.SZ,floor,804,400,404,-0.0183,0.0005,-0.0091
000758.SZ,resonance,898,561,337,-0.011,-0.0086,-0.0165
000759.SZ,strict,547,339,208,-0.0173,-0.0091,-0.0795
000759.SZ,floor,668,357,311,-0.011,-0.014,-0.0246
000759.SZ,resonance,786,551,235,0.039,0.0381,-0.0166
000761.SZ,strict,480,278,202,0.042,0.0347,0.0222
000761.SZ,floor,553,292,261,0.0572,0.0503,0.0084
000761.SZ,resonance,706,477,229,0.0713,0.082,0.0465
000762.SZ,strict,1056,626,430,-0.0124,-0.0052,-0.0192
000762.SZ,floor,1227,666,561,-0.0242,-0.0271,-0.0457
000762.SZ,resonance,1216,783,433,0.0164,0.0099,-0.0177
000766.SZ,strict,844,473,371,-0.0254,-0.0327,-0.0252
000766.SZ,floor,956,497,459,-0.0164,-0.0494,-0.0642
000766.SZ,resonance,1099,675,424,-0.0189,-0.0284,-0.0326
000767.SZ,strict,493,266,227,-0.0163,-0.0274,0.0016
000767.SZ,floor,644,289,355,0.0044,-0.0234,0.0012
000767.SZ,resonance,662,420,242,0.0177,0.0108,0.0229
000776.SZ,strict,149,99,50,0.0098,0.0226,-0.1002
000776.SZ,floor,174,101,73,0.0043,0.0199,-0.1178
000776.SZ,resonance,162,112,50,-0.0185,0.0107,-0.0878
000777.SZ,strict,892,546,346,0.012,0.0022,-0.0292
000777.SZ,floor,975,566,409,0.0151,0.0045,-0.0186
000777.SZ,resonance,1125,745,380,0.011,0.0095,-0.0147
000778.SZ,strict,179,108,71,-0.0018,-0.0051,0.0638
000778.SZ,floor,186,109,77,-0.0005,-0.0,0.0622
000778.SZ,resonance,311,233,78,0.025,0.0293,0.0689
000782.SZ,strict,706,425,281,-0.0234,-0.0093,0.0091
000782.SZ,floor,860,446,414,-0.0041,0.0124,0.0249
000782.SZ,resonance,1012,669,343,0.0013,0.0232,0.0061
000783.SZ,strict,630,363,267,-0.0301,-0.0296,-0.0657
000783.SZ,floor,688,370,318,-0.0287,-0.0353,-0.0683
000783.SZ,resonance,864,569,295,0.0001,-0.011,-0.0192
000785.SZ,strict,376,200,176,-0.0389,-0.028,0.0226
000785.SZ,floor,413,207,206,-0.0208,-0.0031,0.0443
000785.SZ,resonance,569,397,172,0.0182,0.0036,0.0245
000786.SZ,strict,916,551,365,-0.0245,-0.0221,-0.0185
000786.SZ,floor,975,553,422,-0.0205,-0.0146,-0.0103
000786.SZ,resonance,1149,726,423,-0.023,-0.0186,-0.0226
000788.SZ,strict,582,328,254,-0.0126,-0.0142,-0.0088
000788.SZ,floor,648,341,307,-0.0168,-0.0165,-0.0146
000788.SZ,resonance,845,554,291,-0.0026,0.0025,-0.0358
000790.SZ,strict,603,371,232,-0.0485,-0.0344,-0.0423
000790.SZ,floor,679,379,300,-0.0249,-0.0151,-0.0258
000790.SZ,resonance,826,548,278,-0.0043,-0.007,-0.0289
000793.SZ,strict,387,241,146,-0.0302,0.0132,-0.0026
000793.SZ,floor,442,247,195,-0.0403,0.005,-0.0071
000793.SZ,resonance,541,394,147,0.0265,0.0506,0.0421
000795.SZ,strict,564,314,250,-0.0226,-0.0269,-0.1002
000795.SZ,floor,620,320,300,-0.031,-0.0272,-0.1046
000795.SZ,resonance,789,501,288,-0.006,-0.0328,-0.0698
000796.SZ,strict,537,335,202,-0.0158,0.0262,0.0118
000796.SZ,floor,625,353,272,-0.0188,0.022,0.032
000796.SZ,resonance,810,580,230,0.0175,0.0206,0.0093
