symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000062.SZ,resonance,1058,683,375,0.0471,0.0718,0.049
000063.SZ,strict,941,538,403,-0.0174,-0.0511,-0.0579
000063.SZ,floor,1047,562,485,-0.002,-0.0224,-0.043
000063.SZ,resonance,1164,721,443,-0.0144,-0.0415,-0.0503
000065.SZ,strict,747,456,291,-0.0129,-0.0011,0.0132
000065.SZ,floor,863,481,382,0.0026,0.0172,0.0475
000065.SZ,resonance,1007,670,337,0.0127,0.0138,0.0173
000066.SZ,strict,785,510,275,-0.0193,-0.0165,-0.0353
000066.SZ,floor,933,560,373,0.0005,0.0023,-0.0011
000066.SZ,resonance,1004,695,309,0.0049,0.0084,-0.0067
000068.SZ,strict,481,276,205,0.0422,0.0167,0.0141
000068.SZ,floor,529,279,250,0.0741,0.0538,0.0329
000068.SZ,resonance,744,512,232,0.059,0.0359,0.0418
000069.SZ,strict,389,214,175,0.0276,0.0175,-0.0474
000069.SZ,floor,430,220,210,0.0581,0.0446,-0.0111
000069.SZ,resonance,576,404,172,0.0579,0.0503,-0.002
000088.SZ,strict,387,205,182,0.0242,0.0194,0.0177
000088.SZ,floor,391,205,186,0.0302,0.0261,0.0211
000088.SZ,resonance,541,363,178,0.0453,0.0394,0.0459
000089.SZ,strict,497,255,242,-0.0247,-0.0141,-0.0155
000089.SZ,floor,502,255,247,-0.0244,-0.0122,-0.012
000089.SZ,resonance,736,459,277,-0.0007,0.0075,0.0123
000096.SZ,strict,603,357,246,-0.0433,-0.0663,-0.0799
000096.SZ,floor,652,367,285,-0.0473,-0.0713,-0.0881
000096.SZ,resonance,873,585,288,-0.0236,-0.0464,-0.0588
000151.SZ,strict,763,457,306,-0.0245,-0.0315,-0.0316
000151.SZ,floor,809,464,345,-0.0358,-0.0382,-0.0405
000151.SZ,resonance,1012,667,345,0.0034,-0.0008,-0.0075
000153.SZ,strict,578,306,272,0.0012,0.0022,-0.0134
000153.SZ,floor,605,307,298,0.0003,-0.0038,-0.0322
000153.SZ,resonance,823,513,310,0.0084,0.0033,-0.0067
000156.SZ,strict,192,116,76,0.0133,-0.0377,-0.0115
000156.SZ,floor,214,119,95,0.0212,-0.0031,0.0106
000156.SZ,resonance,263,176,87,0.0229,-0.0325,-0.0083
000157.SZ,strict,669,374,295,-0.0171,-0.0281,-0.0464
000157.SZ,floor,702,380,322,-0.0163,-0.0244,-0.0394
000157.SZ,resonance,896,574,322,0.0022,-0.0137,-0.0152
000159.SZ,strict,611,378,233,-0.0202,0.0293,0.0304
000159.SZ,floor,716,395,321,-0.014,0.0348,0.0447
000159.SZ,resonance,882,607,275,0.018,0.0401,0.047
000338.SZ,strict,943,545,398,-0.029,-0.02,-0.0481
000338.SZ,floor,1123,599,524,-0.016,-0.0119,-0.0397
000338.SZ,resonance,1043,631,412,-0.0319,-0.0404,-0.0559
000401.SZ,strict,471,254,217,-0.0335,-0.0298,-0.0331
000401.SZ,floor,500,255,245,-0.0213,-0.0221,-0.0288
000401.SZ,resonance,679,441,238,-0.0057,0.0083,0.0176
000402.SZ,strict,426,244,182,-0.0094,-0.026,-0.0143
000402.SZ,floor,462,253,209,0.0114,0.0065,0.0145
