symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
688820.SH,盛合晶微,1780885860000,2026-06-08,2026-06-08 10:31:00,165.3,165.32,164.83,165.22,598,9864671.0
688820.SH,盛合晶微,1780885920000,2026-06-08,2026-06-08 10:32:00,165.21,165.29,164.95,165.0,484,7992061.0
688820.SH,盛合晶微,1780885980000,2026-06-08,2026-06-08 10:33:00,164.95,165.8,164.95,165.75,905,14968476.0
688820.SH,盛合晶微,1780886040000,2026-06-08,2026-06-08 10:34:00,165.8,165.99,165.2,165.99,800,13256053.0
688820.SH,盛合晶微,1780886100000,2026-06-08,2026-06-08 10:35:00,166.15,166.2,165.69,165.69,587,9745210.0
688820.SH,盛合晶微,1780886160000,2026-06-08,2026-06-08 10:36:00,165.02,166.48,165.02,166.4,1463,24302683.0
688820.SH,盛合晶微,1780886220000,2026-06-08,2026-06-08 10:37:00,166.4,166.4,166.03,166.03,597,9917164.0
688820.SH,盛合晶微,1780886280000,2026-06-08,2026-06-08 10:38:00,166.1,166.98,166.1,166.98,1781,29649154.0
688820.SH,盛合晶微,1780886340000,2026-06-08,2026-06-08 10:39:00,167.0,167.27,167.0,167.27,1548,25874585.0
688820.SH,盛合晶微,1780886400000,2026-06-08,2026-06-08 10:40:00,167.27,167.57,167.02,167.57,1446,24206214.0
688820.SH,盛合晶微,1780886460000,2026-06-08,2026-06-08 10:41:00,167.58,167.88,167.37,167.46,844,14150166.0
688820.SH,盛合晶微,1780886520000,2026-06-08,2026-06-08 10:42:00,167.38,167.58,167.2,167.2,542,9057875.0
688820.SH,盛合晶微,1780886580000,2026-06-08,2026-06-08 10:43:00,167.2,167.21,166.8,166.8,989,16527238.0
688820.SH,盛合晶微,1780886640000,2026-06-08,2026-06-08 10:44:00,166.9,167.2,166.89,167.19,426,7116901.0
688820.SH,盛合晶微,1780886700000,2026-06-08,2026-06-08 10:45:00,167.2,167.2,166.49,166.49,463,7734008.0
688820.SH,盛合晶微,1780886760000,2026-06-08,2026-06-08 10:46:00,166.62,167.41,166.62,167.41,967,16133168.0
688820.SH,盛合晶微,1780886820000,2026-06-08,2026-06-08 10:47:00,167.44,167.64,166.95,166.95,428,7174859.0
688820.SH,盛合晶微,1780886880000,2026-06-08,2026-06-08 10:48:00,167.07,167.07,166.32,166.34,419,6972277.0
688820.SH,盛合晶微,1780886940000,2026-06-08,2026-06-08 10:49:00,166.33,166.33,165.31,165.33,445,7388082.0
688820.SH,盛合晶微,1780887000000,2026-06-08,2026-06-08 10:50:00,165.33,165.51,165.01,165.08,479,7894092.0
688820.SH,盛合晶微,1780887060000,2026-06-08,2026-06-08 10:51:00,165.35,165.65,165.07,165.65,318,5265367.0
