symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
300395.SZ,菲利华,1780885860000,2026-06-08,2026-06-08 10:31:00,117.46,117.63,117.19,117.19,950,11161301.0
300395.SZ,菲利华,1780885920000,2026-06-08,2026-06-08 10:32:00,117.26,117.46,117.2,117.43,1670,19591973.0
300395.SZ,菲利华,1780885980000,2026-06-08,2026-06-08 10:33:00,117.43,117.48,117.4,117.43,1296,15220809.0
300395.SZ,菲利华,1780886040000,2026-06-08,2026-06-08 10:34:00,117.43,117.43,117.05,117.2,1079,12650290.0
300395.SZ,菲利华,1780886100000,2026-06-08,2026-06-08 10:35:00,117.19,117.39,116.94,116.94,2034,23856768.0
300395.SZ,菲利华,1780886160000,2026-06-08,2026-06-08 10:36:00,116.9,117.13,116.9,117.1,1553,18176597.0
300395.SZ,菲利华,1780886220000,2026-06-08,2026-06-08 10:37:00,117.15,117.5,117.11,117.31,1380,16190240.0
300395.SZ,菲利华,1780886280000,2026-06-08,2026-06-08 10:38:00,117.3,117.79,117.3,117.79,1162,13657163.0
300395.SZ,菲利华,1780886340000,2026-06-08,2026-06-08 10:39:00,117.84,117.88,117.78,117.84,1118,13174537.0
300395.SZ,菲利华,1780886400000,2026-06-08,2026-06-08 10:40:00,117.86,117.94,117.86,117.89,939,11069483.0
300395.SZ,菲利华,1780886460000,2026-06-08,2026-06-08 10:41:00,117.9,117.9,117.3,117.31,698,8217709.0
300395.SZ,菲利华,1780886520000,2026-06-08,2026-06-08 10:42:00,117.3,117.56,117.3,117.51,867,10183980.0
300395.SZ,菲利华,1780886580000,2026-06-08,2026-06-08 10:43:00,117.55,117.69,117.51,117.6,414,4868307.0
300395.SZ,菲利华,1780886640000,2026-06-08,2026-06-08 10:44:00,117.59,117.6,117.41,117.41,443,5206892.0
300395.SZ,菲利华,1780886700000,2026-06-08,2026-06-08 10:45:00,117.41,117.55,117.3,117.31,553,6495575.0
300395.SZ,菲利华,1780886760000,2026-06-08,2026-06-08 10:46:00,117.36,117.36,117.25,117.36,580,6803737.0
300395.SZ,菲利华,1780886820000,2026-06-08,2026-06-08 10:47:00,117.51,117.53,117.17,117.17,1118,13122920.0
300395.SZ,菲利华,1780886880000,2026-06-08,2026-06-08 10:48:00,117.13,117.13,116.51,116.51,896,10468777.0
300395.SZ,菲利华,1780886940000,2026-06-08,2026-06-08 10:49:00,116.45,116.45,115.81,115.81,1434,16645146.0
300395.SZ,菲利华,1780887000000,2026-06-08,2026-06-08 10:50:00,115.83,116.01,115.71,116.01,2079,24081782.0
300395.SZ,菲利华,1780887060000,2026-06-08,2026-06-08 10:51:00,116.11,116.12,115.94,115.94,1636,18971171.0
300395.SZ,菲利华,1780887120000,2026-06-08,2026-06-08 10:52:00,115.93,115.99,115.76,115.86,616,7133346.0
300395.SZ,菲利华,1780887180000,2026-06-08,2026-06-08 10:53:00,115.85,116.38,115.81,116.25,750,8708141.0
300395.SZ,菲利华,1780887240000,2026-06-08,2026-06-08 10:54:00,116.24,116.25,116.02,116.06,380,4414061.0
300395.SZ,菲利华,1780887300000,2026-06-08,2026-06-08 10:55:00,116.1,116.49,116.1,116.47,640,7438727.0
300395.SZ,菲利华,1780887360000,2026-06-08,2026-06-08 10:56:00,116.41,116.56,116.33,116.48,555,6462608.0
300395.SZ,菲利华,1780887420000,2026-06-08,2026-06-08 10:57:00,116.48,116.5,116.19,116.19,282,3280961.0
300395.SZ,菲利华,1780887480000,2026-06-08,2026-06-08 10:58:00,116.2,116.25,115.91,115.98,909,10548841.0
300395.SZ,菲利华,1780887540000,2026-06-08,2026-06-08 10:59:00,115.92,116.25,115.92,116.25,378,4386887.0
300395.SZ,菲利华,1780887600000,2026-06-08,2026-06-08 11:00:00,116.26,116.29,116.06,116.07,617,7169341.0
300395.SZ,菲利华,1780887660000,2026-06-08,2026-06-08 11:01:00,116.07,116.07,115.9,115.91,286,3317366.0
300395.SZ,菲利华,1780887720000,2026-06-08,2026-06-08 11:02:00,115.92,115.94,115.73,115.73,874,10124310.0
300395.SZ,菲利华,1780887780000,2026-06-08,2026-06-08 11:03:00,115.86,116.23,115.86,116.08,850,9857723.0
300395.SZ,菲利华,1780887840000,2026-06-08,2026-06-08 11:04:00,116.06,116.14,115.9,116.14,568,6590033.0
300395.SZ,菲利华,1780887900000,2026-06-08,2026-06-08 11:05:00,116.16,116.46,116.16,116.31,534,6211915.0
300395.SZ,菲利华,1780887960000,2026-06-08,2026-06-08 11:06:00,116.31,116.31,115.91,115.92,447,5186576.0
300395.SZ,菲利华,1780888020000,2026-06-08,2026-06-08 11:07:00,115.91,116.01,115.8,115.83,754,8740074.0
300395.SZ,菲利华,1780888080000,2026-06-08,2026-06-08 11:08:00,115.87,115.93,115.71,115.91,805,9323927.0
300395.SZ,菲利华,1780888140000,2026-06-08,2026-06-08 11:09:00,115.91,116.16,115.9,115.91,848,9835620.0
300395.SZ,菲利华,1780888200000,2026-06-08,2026-06-08 11:10:00,115.91,115.91,115.8,115.8,386,4471379.0
300395.SZ,菲利华,1780888260000,2026-06-08,2026-06-08 11:11:00,115.8,115.8,115.7,115.7,571,6610159.0
300395.SZ,菲利华,1780888320000,2026-06-08,2026-06-08 11:12:00,115.7,115.72,115.34,115.37,2142,24747054.0
300395.SZ,菲利华,1780888380000,2026-06-08,2026-06-08 11:13:00,115.37,115.37,115.22,115.22,865,9973148.0
300395.SZ,菲利华,1780888440000,2026-06-08,2026-06-08 11:14:00,115.29,115.4,115.29,115.29,1335,15394252.0
300395.SZ,菲利华,1780888500000,2026-06-08,2026-06-08 11:15:00,115.29,115.29,115.0,115.03,1421,16349986.0
300395.SZ,菲利华,1780888560000,2026-06-08,2026-06-08 11:16:00,115.01,115.27,115.01,115.27,1020,11745292.0
300395.SZ,菲利华,1780888620000,2026-06-08,2026-06-08 11:17:00,115.27,115.27,115.02,115.04,844,9714963.0
300395.SZ,菲利华,1780888680000,2026-06-08,2026-06-08 11:18:00,115.02,115.06,114.86,114.86,1633,18779363.0
300395.SZ,菲利华,1780888740000,2026-06-08,2026-06-08 11:19:00,114.85,115.29,114.8,115.29,1314,15104988.0
300395.SZ,菲利华,1780888800000,2026-06-08,2026-06-08 11:20:00,115.28,115.46,115.28,115.46,524,6034791.0
300395.SZ,菲利华,1780888860000,2026-06-08,2026-06-08 11:21:00,115.46,115.46,115.43,115.45,379,4374898.0
300395.SZ,菲利华,1780888920000,2026-06-08,2026-06-08 11:22:00,115.45,115.79,115.4,115.45,617,7131025.0
300395.SZ,菲利华,1780888980000,2026-06-08,2026-06-08 11:23:00,115.43,115.56,115.31,115.56,582,6715698.0
300395.SZ,菲利华,1780889040000,2026-06-08,2026-06-08 11:24:00,115.56,115.79,115.39,115.39,738,8533535.0
300395.SZ,菲利华,1780889100000,2026-06-08,2026-06-08 11:25:00,115.39,115.4,115.18,115.4,629,7248729.0
300395.SZ,菲利华,1780889160000,2026-06-08,2026-06-08 11:26:00,115.49,115.5,115.23,115.23,345,3979398.0
300395.SZ,菲利华,1780889220000,2026-06-08,2026-06-08 11:27:00,115.22,115.23,114.94,114.97,695,7998272.0
300395.SZ,菲利华,1780889280000,2026-06-08,2026-06-08 11:28:00,114.94,115.03,114.9,115.0,1427,16410972.0
300395.SZ,菲利华,1780889340000,2026-06-08,2026-06-08 11:29:00,115.0,115.0,114.86,114.99,762,8754672.0
300395.SZ,菲利华,1780889400000,2026-06-08,2026-06-08 11:30:00,114.99,114.99,114.9,114.9,721,8288537.0
300395.SZ,菲利华,1780894860000,2026-06-08,2026-06-08 13:01:00,114.85,115.01,114.51,114.93,2082,23894679.0
300395.SZ,菲利华,1780894920000,2026-06-08,2026-06-08 13:02:00,114.97,115.2,114.73,114.97,843,9691762.0
300395.SZ,菲利华,1780894980000,2026-06-08,2026-06-08 13:03:00,114.98,115.18,114.82,115.18,721,8288283.0
300395.SZ,菲利华,1780895040000,2026-06-08,2026-06-08 13:04:00,115.15,115.46,115.15,115.32,761,8777994.0
300395.SZ,菲利华,1780895100000,2026-06-08,2026-06-08 13:05:00,115.26,115.3,115.15,115.26,451,5195593.0
300395.SZ,菲利华,1780895160000,2026-06-08,2026-06-08 13:06:00,115.25,115.6,115.25,115.36,295,3404817.0
300395.SZ,菲利华,1780895220000,2026-06-08,2026-06-08 13:07:00,115.36,115.59,115.36,115.5,726,8381716.0
300395.SZ,菲利华,1780895280000,2026-06-08,2026-06-08 13:08:00,115.49,115.5,115.04,115.04,790,9105178.0
300395.SZ,菲利华,1780895340000,2026-06-08,2026-06-08 13:09:00,115.05,115.2,115.05,115.18,467,5376876.0
300395.SZ,菲利华,1780895400000,2026-06-08,2026-06-08 13:10:00,115.19,115.45,115.15,115.45,532,6134648.0
300395.SZ,菲利华,1780895460000,2026-06-08,2026-06-08 13:11:00,115.48,115.62,115.33,115.33,518,5991988.0
300395.SZ,菲利华,1780895520000,2026-06-08,2026-06-08 13:12:00,115.35,115.47,115.19,115.47,422,4865709.0
