VWAP_DEV,VOL_EXPAND,VOL_SHRINK,n,skill6,skill12,skill24,RESONANCE
0.6,1.1,0.7,7992,0.005932307307307304,-0.001194481981981984,-0.029038475975975975,
0.6,1.1,0.8,7992,0.0052590465465465475,-0.00016261261261261238,-0.025020470470470468,
0.6,1.1,0.9,7992,0.009545095095095095,0.0054373623623623635,-0.02030829579579579,
0.6,1.2,0.7,7992,0.005928928928928927,-0.001502427427427426,-0.026794156656656663,
0.6,1.2,0.8,7992,0.00577585085085085,-0.0014576201201201198,-0.024101438938938936,
0.6,1.2,0.9,7992,0.01003885135135135,0.0042204704704704695,-0.018331544044044048,
0.6,1.3,0.7,7992,0.006105768268268265,-0.0015005755755755786,-0.02398751251251251,
0.6,1.3,0.8,7992,0.0066788913913913926,-0.0013577577577577602,-0.021720795795795795,
0.6,1.3,0.9,7992,0.010527389889889889,0.00359398148148148,-0.01681123623623623,
0.8,1.1,0.7,7992,0.003076176176176173,-0.0021302677677677707,-0.029843531031031035,
0.8,1.1,0.8,7992,0.002354967467467465,-0.0007631131131131128,-0.025739139139139146,
0.8,1.1,0.9,7992,0.00765925925925926,0.004887937937937935,-0.020559284284284284,
0.8,1.2,0.7,7992,0.0037695820820820847,-0.0028665540540540567,-0.027875362862862862,
0.8,1.2,0.8,7992,0.0035637512512512507,-0.0018422172172172188,-0.024417254754754755,
0.8,1.2,0.9,7992,0.008654466966966964,0.002840202702702702,-0.018951376376376377,
0.8,1.3,0.7,7992,0.004164877377377375,-0.0015540665665665654,-0.02409841091091091,
0.8,1.3,0.8,7992,0.0043353603603603595,-0.001531231231231233,-0.021951413913913913,
0.8,1.3,0.9,7992,0.009247622622622622,0.00319987487487487,-0.017126664164164158,
1.0,1.1,0.7,7992,0.0032765140140140125,-0.002173410910910911,-0.027886286286286283,
1.0,1.1,0.8,7992,0.0010868493493493506,-0.0025438938938938936,-0.027402289789789785,
1.0,1.1,0.9,7992,0.00716806806806807,0.004385560560560559,-0.02165812062062062,
1.0,1.2,0.7,7992,0.003350975975975975,-0.0033908033033033034,-0.025952314814814813,
1.0,1.2,0.8,7992,0.002436336336336334,-0.0034350975975975992,-0.025401051051051053,
1.0,1.2,0.9,7992,0.007739176676676676,0.002520282782782781,-0.01938517267267267,
1.0,1.3,0.7,7992,0.003924674674674674,-0.0011394769769769773,-0.022070445445445442,
1.0,1.3,0.8,7992,0.0031509509509509512,-0.0022698073073073068,-0.022836724224224225,
1.0,1.3,0.9,7992,0.008572710210210211,0.003758733733733732,-0.017610472972972975,
,,,7992,0.010404066566566565,0.0021164914914914923,0.001549774774774777,1.0
,,,7992,0.0035637512512512507,-0.0018422172172172188,-0.024417254754754755,2.0
,,,6083,0.005784908762123952,0.005171200657894739,-0.030246218487394953,3.0
