VWAP_DEV,VOL_EXPAND,VOL_SHRINK,n,skill6,skill12,skill24,RESONANCE
0.6,1.1,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.1,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.1,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.2,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.2,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.2,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.3,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.3,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.6,1.3,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.1,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.1,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.1,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.2,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.2,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.2,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.3,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.3,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
0.8,1.3,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.1,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.1,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.1,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.2,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.2,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.2,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.3,0.7,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.3,0.8,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
1.0,1.3,0.9,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,
,,,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,1.0
,,,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,2.0
,,,621788,0.026246347477802086,0.027923469351636438,0.03197520249040665,3.0
