VWAP_DEV,VOL_EXPAND,VOL_SHRINK,n,skill6,skill12,skill24,RESONANCE
0.6,1.1,0.7,7784,0.017801027749229186,0.025614889516957864,0.023610187564234327,
0.6,1.1,0.8,7820,0.016801189258312026,0.0235493989769821,0.021111841432225064,
0.6,1.1,0.9,7851,0.016021808917197452,0.02099515923566879,0.017853452229299367,
0.6,1.2,0.7,7784,0.01813049845837616,0.03189387204522097,0.03026357913669065,
0.6,1.2,0.8,7820,0.017709552429667517,0.030370754475703324,0.028740664961636835,
0.6,1.2,0.9,7851,0.017059528662420383,0.027931668789808916,0.025316242038216558,
0.6,1.3,0.7,7785,0.015232960822093772,0.032343673731534996,0.02951958895311496,
0.6,1.3,0.8,7821,0.015306444188722667,0.030714371563738647,0.028570694284618333,
0.6,1.3,0.9,7852,0.014321322124570119,0.02813416125334352,0.025358209145331802,
0.8,1.1,0.7,7777,0.016063314902918863,0.023505413398482708,0.022016818824739617,
0.8,1.1,0.8,7814,0.014880266188891735,0.02178538520604044,0.018323854619912976,
0.8,1.1,0.9,7845,0.0146073304436512,0.020832177460479346,0.01629335798062213,
0.8,1.2,0.7,7777,0.014693789378937894,0.028706313488491706,0.030485225665423683,
0.8,1.2,0.8,7814,0.014431008446378292,0.02792379063219862,0.02766420527258766,
0.8,1.2,0.9,7845,0.01421472463029067,0.026817937276899538,0.025747628760836305,
0.8,1.3,0.7,7777,0.013061900475761858,0.030264060691783463,0.030178230680210878,
0.8,1.3,0.8,7815,0.013252527191298784,0.029084747280870123,0.02693685220729367,
0.8,1.3,0.9,7846,0.012714735500318673,0.028225162523900574,0.024462141491395795,
1.0,1.1,0.7,7761,0.015856590645535372,0.022144453034402788,0.018054355670103096,
1.0,1.1,0.8,7800,0.015130602564102565,0.0201780641025641,0.014585576923076922,
1.0,1.1,0.9,7834,0.014959019532746073,0.018040520873228647,0.011442678411847314,
1.0,1.2,0.7,7761,0.01605619121247262,0.02761387707769617,0.027323685567010314,
1.0,1.2,0.8,7799,0.01612146429029363,0.026234401846390563,0.02417958712655469,
1.0,1.2,0.9,7833,0.01579887640449438,0.023671718590398363,0.020991458120531156,
1.0,1.3,0.7,7760,0.015449948453608246,0.02862692010309278,0.027433238819435494,
1.0,1.3,0.8,7799,0.015461943838953713,0.02677248365175022,0.023181279651237337,
1.0,1.3,0.9,7833,0.014880937180796734,0.024224655260469866,0.019960623084780384,
,,,7992,0.008386674174174174,0.0026522397397397424,0.008127239739739738,1.0
,,,7814,0.014431008446378292,0.02792379063219862,0.02766420527258766,2.0
,,,2463,-0.00806601705237515,-0.03604778365189101,-0.0830917685411573,3.0
