sym,n_bars,split,n_train,skill24_train,n_test,skill24_test,skill24_test_early,skill24_test_late
688135.SH,34994,23096,1914,0.0268,976,0.0622,0.0468,0.0782
688156.SH,34994,23096,1976,0.0401,1003,0.0328,0.0601,0.0043
688171.SH,34994,23096,1897,-0.0066,1016,-0.0018,-0.0524,0.0479
688188.SH,34994,23096,1940,-0.02,1002,0.0426,0.1947,-0.1169
688208.SH,34994,23096,1952,-0.0037,1021,-0.0078,0.011,-0.0271
688230.SH,34994,23096,1977,0.0299,979,0.0374,0.0013,0.0721
688251.SH,34994,23096,2026,-0.0081,1015,0.0357,0.0832,-0.0131
688270.SH,34994,23096,1876,0.0323,979,-0.0589,0.0659,-0.1924
688283.SH,5000,3300,293,-0.0501,135,-0.1447,-0.309,0.0547
688303.SH,34994,23096,1946,-0.0088,1018,0.0068,-0.0398,0.0533
688320.SH,34994,23096,1915,-0.006,990,-0.0105,-0.0944,0.0711
688333.SH,34994,23096,1900,0.0229,989,-0.1212,-0.0214,-0.2217
688350.SH,34994,23096,1843,-0.0364,968,0.0049,0.0288,-0.0186
688363.SH,34994,23096,1990,-0.0032,993,-0.0486,-0.0234,-0.0745
688378.SH,34994,23096,1942,0.032,966,-0.0659,-0.1217,-0.0081
688392.SH,34994,23096,1934,0.0582,971,0.0052,-0.0422,0.0513
688410.SH,34994,23096,1969,0.03,987,-0.0473,-0.1343,0.0391
688439.SH,34994,23096,1978,0.0032,1006,-0.0018,0.005,-0.0085
688485.SH,34994,23096,1896,-0.0583,953,0.1586,0.2079,0.1095
688510.SH,34994,23096,2005,0.0298,1010,-0.0242,-0.0495,-0.0003
688523.SH,34994,23096,1878,0.0437,949,-0.0489,-0.0539,-0.0439
688551.SH,34994,23096,1948,0.0108,958,0.0289,0.1292,-0.0765
688565.SH,34994,23096,1933,0.02,976,0.0012,-0.0574,0.0588
688583.SH,34994,23096,1835,0.0907,1007,-0.0095,-0.0345,0.0152
688597.SH,34994,23096,2055,0.0549,1019,-0.0264,-0.0608,0.0091
688615.SH,34994,23096,1880,0.0509,943,-0.0686,-0.0615,-0.0754
688629.SH,34994,23096,1852,-0.0241,941,0.0484,0.1382,-0.0442
688656.SH,34994,23096,1943,0.0003,1006,0.1217,0.14,0.1025
688671.SH,34994,23096,1908,0.0094,957,-0.1112,0.015,-0.2415
688690.SH,34994,23096,1958,-0.0302,983,-0.0157,0.0268,-0.0565
688708.SH,5000,3300,303,0.0824,153,0.0674,-0.0721,0.2163
688733.SH,34994,23096,1936,0.0573,936,-0.0744,-0.0668,-0.0821
688768.SH,34994,23096,1880,-0.0023,991,0.0512,0.0542,0.0481
688793.SH,34994,23096,1935,0.0115,950,0.1207,0.1118,0.1295
920003.BJ,34994,23096,2070,0.0518,1032,-0.0007,-0.0317,0.0291
920029.BJ,34994,23096,1996,0.0361,1008,-0.0579,-0.0408,-0.0744
920056.BJ,34994,23096,1934,0.0029,992,0.0241,0.0131,0.0349
920077.BJ,5000,3300,261,0.0181,150,0.0219,-0.1788,0.2336
920106.BJ,34994,23096,1932,-0.0094,962,-0.0006,-0.0367,0.0361
920132.BJ,34994,23096,2087,0.0879,1008,-0.0294,-0.0291,-0.0298
920171.BJ,34994,23096,1942,-0.0637,977,-0.0254,-0.0728,0.021
920190.BJ,34994,23096,1969,0.0426,959,-0.0729,0.0065,-0.1554
920222.BJ,3374,2226,156,0.1137,94,-0.1752,-0.3436,0.0844
920261.BJ,34994,23096,2035,0.0398,1070,0.0355,-0.0006,0.0705
920344.BJ,34994,23096,2001,0.0053,1008,-0.0393,-0.0505,-0.0282
920402.BJ,34994,23096,2028,0.034,993,0.0463,0.1436,-0.0556
920438.BJ,34994,23096,1878,0.0365,958,0.0114,-0.091,0.1072
920509.BJ,34994,23096,1947,0.0088,973,0.0728,0.0833,0.0619
920556.BJ,34994,23096,2036,-0.0094,1013,0.0238,0.0582,-0.0093
920634.BJ,34994,23096,1950,0.0139,962,-0.0785,-0.0703,-0.0868
