sym,n_bars,split,n_train,skill24_train,n_test,skill24_test,skill24_test_early,skill24_test_late
002570.SZ,34994,23096,2218,0.0171,1086,0.0668,0.0891,0.0442
002583.SZ,34994,23096,2110,0.0077,1078,0.0388,-0.0001,0.0776
002597.SZ,9999,6599,556,-0.0543,295,0.1475,0.1614,0.1356
002614.SZ,34994,23096,2115,0.026,1093,0.004,-0.0033,0.0112
002630.SZ,34994,23096,2054,0.0465,1017,0.0845,0.0908,0.0785
002649.SZ,34994,23096,2033,-0.0099,1002,-0.0642,-0.0668,-0.0616
002659.SZ,34994,23096,2063,0.0275,1072,-0.0416,-0.0471,-0.0359
002670.SZ,34994,23096,2029,-0.0122,1012,0.0034,0.029,-0.026
002686.SZ,34994,23096,2062,0.0579,1056,-0.0301,-0.0295,-0.0306
002696.SZ,34994,23096,2072,0.0233,1034,-0.024,-0.0415,-0.0064
002715.SZ,34994,23096,1960,0.0024,986,-0.0169,0.0117,-0.0449
002732.SZ,34994,23096,2003,0.0132,1037,-0.0272,-0.0389,-0.0151
002743.SZ,34994,23096,2136,0.0478,1048,-0.0201,-0.0292,-0.0109
002758.SZ,34994,23096,2036,0.0129,1069,-0.0102,-0.0302,0.0103
002772.SZ,34994,23096,1951,-0.011,1025,-0.0524,-0.0073,-0.1016
002790.SZ,34994,23096,2095,0.0178,1053,-0.0417,-0.0627,-0.0205
002806.SZ,34994,23096,2040,0.0096,962,0.0097,0.0424,-0.0214
002819.SZ,34994,23096,1970,0.0068,1009,-0.0107,-0.0072,-0.0143
002831.SZ,34994,23096,1975,0.0161,1017,0.024,-0.0185,0.066
002847.SZ,34994,23096,1972,-0.0093,960,0.0015,-0.0089,0.0129
002864.SZ,5000,3300,271,-0.0846,135,-0.1539,-0.4013,0.0972
002875.SZ,34994,23096,1986,-0.0333,966,-0.0359,-0.0406,-0.0312
002887.SZ,34994,23096,1995,0.0442,1023,0.0213,-0.0092,0.0519
002899.SZ,34994,23096,1934,0.0332,987,0.0092,0.0371,-0.0185
002912.SZ,34994,23096,1927,0.002,997,-0.0475,-0.0637,-0.0315
002926.SZ,5000,3300,302,0.0141,152,0.0235,-0.0241,0.0763
002947.SZ,34994,23096,1985,0.0123,974,0.0245,0.0131,0.036
002965.SZ,34994,23096,1967,-0.0158,924,-0.0403,-0.0539,-0.0252
002978.SZ,34994,23096,1842,-0.0249,984,0.0074,0.0514,-0.0392
002991.SZ,34994,23096,1905,0.0047,950,-0.0315,-0.0742,0.0142
003006.SZ,34994,23096,1974,0.011,986,-0.0133,-0.0045,-0.0226
003025.SZ,34994,23096,2028,0.0106,977,0.0024,0.0562,-0.0515
003038.SZ,34994,23096,2004,-0.0288,1026,0.0015,0.0151,-0.0119
300009.SZ,19997,13198,1199,-0.0071,618,-0.0526,-0.0789,-0.0255
300027.SZ,34994,23096,2212,0.1767,1123,0.1324,0.1107,0.1544
300041.SZ,34994,23096,2116,0.0066,986,-0.0021,-0.0009,-0.0035
300055.SZ,34994,23096,2013,0.0026,1032,-0.0194,0.0287,-0.0677
300072.SZ,34994,23096,2100,0.0499,1097,-0.0087,-0.0549,0.0374
300086.SZ,34994,23096,2037,0.0266,1032,-0.0059,0.0278,-0.0413
300101.SZ,34994,23096,1899,-0.0448,1024,-0.0092,-0.025,0.0062
300119.SZ,34994,23096,2001,-0.0097,1000,-0.0422,-0.0398,-0.0447
300133.SZ,34994,23096,2054,0.0028,1022,-0.0478,-0.0364,-0.0588
300145.SZ,5000,3300,281,-0.1979,140,0.1963,0.2963,0.0667
300158.SZ,34994,23096,2162,0.0168,1052,-0.0246,0.0352,-0.0844
300173.SZ,5000,3300,308,0.0212,149,0.1025,0.1099,0.0945
300187.SZ,34994,23096,2137,0.0582,1018,0.0028,0.0126,-0.0077
300198.SZ,34994,23096,2178,0.0888,1109,0.103,0.0681,0.1386
300215.SZ,34994,23096,2008,0.0033,1040,-0.0017,-0.0057,0.0024
300230.SZ,34994,23096,2206,0.0544,1113,-0.0134,-0.0391,0.0124
300243.SZ,5000,3300,259,-0.0893,140,0.12,-0.0521,0.3243
300254.SZ,34994,23096,1978,-0.0069,975,-0.0925,-0.0443,-0.1392
300270.SZ,19997,13198,1124,0.0631,540,-0.1298,0.0128,-0.2756
300287.SZ,34994,23096,2206,0.0328,1069,0.0149,-0.0221,0.0526
300302.SZ,34994,23096,1951,0.0083,952,0.0467,0.0852,0.0098
300316.SZ,34994,23096,1952,-0.066,961,0.0825,0.0349,0.1311
300334.SZ,34994,23096,2102,0.014,986,-0.0485,-0.0753,-0.0224
300350.SZ,34994,23096,2125,-0.0034,1055,-0.0565,-0.0582,-0.0548
300365.SZ,9999,6599,575,-0.0281,306,0.0257,0.0346,0.0172
300385.SZ,29995,19796,1639,-0.0771,851,-0.0458,0.0336,-0.1269
300400.SZ,34994,23096,1981,-0.0187,979,-0.0927,-0.1004,-0.0848
300413.SZ,34994,23096,2001,0.0028,1002,-0.0071,0.0144,-0.03
300429.SZ,5000,3300,286,0.0493,147,-0.3218,-0.5693,-0.0264
300441.SZ,34994,23096,2133,0.0154,1036,-0.0345,-0.0924,0.0217
300452.SZ,34994,23096,2006,-0.0053,1021,-0.0301,-0.0221,-0.0384
300463.SZ,24996,16497,1484,-0.0049,747,-0.0411,-0.0458,-0.0364
300477.SZ,34994,23096,2174,0.0656,1107,0.052,0.0185,0.0862
300489.SZ,34994,23096,1978,0.0489,958,0.0368,-0.0055,0.0804
300503.SZ,34994,23096,1876,-0.0043,947,-0.0416,-0.009,-0.0742
300516.SZ,34994,23096,1876,0.0272,964,-0.0468,-0.0318,-0.062
300533.SZ,34994,23096,1919,-0.0277,978,-0.0416,-0.0188,-0.0644
300545.SZ,19997,13198,1115,0.0361,531,-0.096,-0.0826,-0.1086
300558.SZ,34994,23096,2000,-0.0186,976,-0.1201,-0.0231,-0.2129
300573.SZ,34994,23096,2024,0.0062,985,-0.0082,-0.0016,-0.015
300589.SZ,34994,23096,1860,-0.0187,1043,0.0009,-0.0178,0.0188
300605.SZ,5000,3300,286,-0.0424,138,0.2048,0.1066,0.3119
300617.SZ,29995,19796,1618,0.0516,827,-0.0908,-0.1563,-0.0241
300632.SZ,34994,23096,1931,-0.0407,1002,-0.0442,-0.0892,0.0013
300649.SZ,5000,3300,296,0.2358,152,0.2387,0.0863,0.4126
300664.SZ,34994,23096,2161,0.0471,1084,-0.0297,-0.0505,-0.0089
300679.SZ,24996,16497,1378,-0.0194,713,0.0229,0.0259,0.0201
300692.SZ,34994,23096,2116,0.018,1016,-0.0323,0.0373,-0.107
300705.SZ,34994,23096,2069,0.0067,1049,-0.0351,-0.0365,-0.0337
300718.SZ,19997,13198,1144,0.0485,569,0.0598,0.0953,0.0254
300735.SZ,14998,9898,799,-0.1185,427,0.0645,-0.0113,0.1319
300750.SZ,19997,13198,1078,0.0018,543,-0.0137,-0.1154,0.0778
300766.SZ,34994,23096,1947,0.052,993,-0.0713,-0.0855,-0.0572
300779.SZ,34994,23096,1825,-0.0546,964,-0.0975,-0.0067,-0.1901
300797.SZ,34994,23096,2000,0.0058,1050,-0.0395,-0.0557,-0.0237
300811.SZ,29995,19796,1613,-0.0253,844,-0.1012,-0.1863,-0.0235
300825.SZ,34994,23096,2028,-0.0158,1007,0.0472,0.1056,-0.0113
300839.SZ,34994,23096,2019,0.0021,995,-0.0103,-0.0052,-0.0153
300852.SZ,34994,23096,1918,-0.0021,953,0.0719,0.1784,-0.0308
300866.SZ,34994,23096,1953,0.0199,976,0.0329,0.0215,0.0444
300881.SZ,34994,23096,1916,-0.0333,945,-0.2101,-0.1489,-0.2691
300891.SZ,34994,23096,2000,0.0064,1026,-0.0094,-0.0494,0.0312
300906.SZ,34994,23096,1979,0.0484,985,-0.0408,-0.0972,0.0146
300917.SZ,34994,23096,1956,0.0051,965,-0.0258,-0.0456,-0.0054
300932.SZ,34994,23096,1982,0.0176,1008,-0.1624,-0.0638,-0.2662
300946.SZ,29995,19796,1633,0.0126,820,-0.0933,-0.0617,-0.1264
300959.SZ,14998,9898,745,0.0423,407,-0.0241,-0.0126,-0.0356
300977.SZ,34994,23096,1928,-0.017,995,0.0123,-0.0362,0.0604
300992.SZ,34994,23096,1933,0.0389,982,0.0334,-0.0216,0.0879
301005.SZ,34994,23096,1922,0.0769,971,-0.0434,0.158,-0.2554
301018.SZ,19997,13198,1064,-0.0132,534,-0.1437,0.0732,-0.351
301031.SZ,34994,23096,1946,0.0322,969,-0.0574,0.0332,-0.156
301045.SZ,34994,23096,1943,0.0234,968,-0.0702,-0.0366,-0.104
301061.SZ,29995,19796,1707,-0.0014,817,-0.0421,-0.0591,-0.0246
301079.SZ,34994,23096,1796,-0.0361,977,-0.0747,-0.0082,-0.1395
301098.SZ,29995,19796,1755,0.0441,833,0.0061,0.0139,-0.0017
301109.SZ,34994,23096,2049,0.027,1018,-0.0301,-0.0287,-0.0315
301125.SZ,9999,6599,567,-0.0187,291,0.0628,-0.0487,0.1661
301138.SZ,5000,3300,245,-0.214,137,-0.165,-0.5051,0.18
301157.SZ,34994,23096,1892,-0.0401,1033,0.0761,0.1186,0.0341
301170.SZ,34994,23096,1953,0.0328,958,-0.0314,-0.0508,-0.0116
301185.SZ,34994,23096,1992,0.0062,1026,-0.0297,-0.0874,0.0226
301198.SZ,34994,23096,1948,0.0364,989,-0.0387,-0.0968,0.0163
301212.SZ,34994,23096,1914,-0.027,996,-0.0434,-0.1781,0.0835
301227.SZ,34994,23096,1893,-0.0608,993,0.0566,0.08,0.0329
301252.SZ,34994,23096,1928,-0.0211,972,-0.1227,0.0296,-0.2847
301265.SZ,9999,6599,543,0.0155,279,0.007,0.0373,-0.0222
301281.SZ,34994,23096,1882,-0.0014,948,0.066,0.0592,0.0725
301297.SZ,34994,23096,1940,0.0047,992,-0.0159,-0.0724,0.037
301311.SZ,14998,9898,827,-0.0396,421,-0.032,-0.0541,-0.0072
301322.SZ,34994,23096,1916,0.0053,944,0.0037,0.0099,-0.0024
301337.SZ,34994,23096,1882,-0.0077,978,-0.0678,-0.0704,-0.0653
301360.SZ,34994,23096,1936,0.068,988,-0.0138,-0.004,-0.0238
301376.SZ,34994,23096,2012,0.0175,982,0.0166,-0.0514,0.0796
301395.SZ,34994,23096,1988,0.0561,975,-0.0835,-0.1185,-0.0509
301439.SZ,34994,23096,2011,-0.0239,990,-0.0033,0.0255,-0.0292
301498.SZ,5000,3300,288,0.0854,122,-0.1935,0.0184,-0.4604
301513.SZ,5000,3300,271,-0.0101,144,-0.0977,-0.1905,0.0089
301533.SZ,34994,23096,1928,0.0077,985,-0.0083,-0.0439,0.0278
301557.SZ,34994,23096,1912,0.0776,998,0.042,0.1189,-0.0328
301581.SZ,34994,23096,1933,0.0149,943,-0.1496,-0.0554,-0.2485
301595.SZ,34994,23096,1890,0.0503,974,-0.0389,0.0286,-0.1098
301613.SZ,34994,23096,1894,0.0009,965,0.0278,-0.0482,0.097
301669.SZ,8194,5408,273,0.1465,238,0.0282,0.22,-0.1735
600010.SH,5000,3300,322,0.1456,160,0.0132,0.0654,-0.046
600031.SH,34994,23096,2040,0.0347,991,-0.0187,-0.036,-0.0001
600056.SH,34994,23096,2144,0.0311,1065,-0.0303,0.0011,-0.0619
600076.SH,34994,23096,2149,0.0438,1018,-0.0322,-0.0012,-0.0634
600095.SH,34994,23096,2117,0.0142,1061,-0.0046,-0.0273,0.0194
600108.SH,34994,23096,2048,0.021,1082,0.0704,0.027,0.1153
600121.SH,34994,23096,2094,0.0247,1060,0.032,0.0566,0.0083
600137.SH,34994,23096,1959,-0.0251,971,-0.0098,-0.0427,0.023
600159.SH,34994,23096,2199,0.0799,1089,-0.0066,0.0551,-0.0673
600172.SH,34994,23096,1992,0.0294,914,-0.0029,-0.081,0.0719
600192.SH,34994,23096,2038,0.0158,994,-0.0674,-0.0767,-0.0579
600215.SH,34994,23096,2077,-0.0117,1033,-0.0536,-0.0432,-0.064
600232.SH,34994,23096,2026,-0.0401,1021,0.0404,0.0309,0.0491
600258.SH,34994,23096,2004,-0.0015,987,-0.0279,-0.0929,0.04
600276.SH,34994,23096,1990,0.0132,954,-0.05,0.0241,-0.1238
600295.SH,5000,3300,298,0.0551,141,0.0371,-0.0238,0.1147
600309.SH,5000,3300,279,0.0049,127,-0.007,-0.0393,0.0395
600327.SH,34994,23096,2198,0.0612,1082,-0.0062,0.0108,-0.0244
600346.SH,34994,23096,1946,0.0013,971,-0.0126,-0.0299,0.0049
600362.SH,34994,23096,1943,-0.0266,977,0.0102,0.048,-0.0298
600376.SH,34994,23096,2125,0.05,1029,-0.0297,0.0507,-0.114
600406.SH,34994,23096,2010,0.0103,1011,-0.004,-0.0201,0.0121
600426.SH,34994,23096,1993,0.0369,982,0.0022,-0.0308,0.0362
600448.SH,19997,13198,1214,0.0241,626,0.0445,0.046,0.043
600470.SH,34994,23096,2005,-0.0431,1022,0.0156,0.0126,0.0189
600495.SH,34994,23096,2193,0.0561,1106,0.0068,0.0028,0.0109
600511.SH,34994,23096,2069,0.0058,1004,-0.0202,-0.0371,-0.003
600523.SH,34994,23096,1982,0.0024,996,-0.0517,-0.0691,-0.0347
600536.SH,34994,23096,2005,-0.0083,958,-0.0508,-0.0503,-0.0512
600549.SH,34994,23096,1897,-0.088,956,-0.0031,0.0569,-0.0645
600570.SH,29995,19796,1700,-0.0057,848,-0.0937,-0.1106,-0.0762
600585.SH,34994,23096,1977,-0.0081,1037,0.001,-0.0146,0.0166
600598.SH,34994,23096,2026,-0.0194,1015,0.0449,0.0323,0.0589
600618.SH,9999,6599,568,0.0222,289,-0.0764,-0.1698,0.019
600635.SH,34994,23096,2183,0.0083,1092,0.044,0.0362,0.0515
600653.SH,5000,3300,314,0.0453,160,-0.0267,-0.0957,0.0407
600667.SH,34994,23096,1991,0.0429,972,0.0672,0.1059,0.0235
600685.SH,34994,23096,1890,0.0075,974,-0.0408,-0.0356,-0.0457
600703.SH,34994,23096,1916,0.0501,999,0.089,0.0506,0.1287
600722.SH,34994,23096,1902,0.0701,1035,0.0647,0.0344,0.0941
600736.SH,34994,23096,2047,0.0321,1054,0.0191,0.0426,-0.0037
600751.SH,34994,23096,2183,0.0508,1088,0.1017,0.097,0.1066
600765.SH,34994,23096,1934,-0.0481,1027,-0.032,-0.0325,-0.0314
600790.SH,34994,23096,2181,0.0528,1078,0.0188,0.032,0.006
600808.SH,29995,19796,1858,0.0603,958,0.0814,0.0262,0.1345
600822.SH,5000,3300,283,-0.0719,144,0.0634,0.1015,0.0293
600835.SH,34994,23096,1970,0.0051,1013,-0.017,-0.0934,0.059
600855.SH,34994,23096,1914,0.0054,1027,-0.08,-0.0212,-0.1369
600867.SH,34994,23096,2118,0.0227,1049,-0.0142,0.0233,-0.0542
600880.SH,34994,23096,2077,-0.0058,1063,-0.0127,-0.0319,0.0075
600895.SH,34994,23096,1990,0.0237,1009,0.0409,0.0066,0.0764
600918.SH,5000,3300,300,0.0315,152,0.1259,0.2341,-0.0114
600959.SH,34994,23096,2177,0.064,1115,0.0767,0.0524,0.1006
600975.SH,34994,23096,2221,0.0417,1087,0.041,-0.0122,0.0952
600993.SH,34994,23096,2008,0.004,1001,0.0072,-0.018,0.0323
601006.SH,34994,23096,2253,0.0478,1150,0.0455,0.0328,0.0581
601020.SH,5000,3300,270,-0.216,146,-0.0819,-0.001,-0.1773
601069.SH,5000,3300,274,0.0609,131,0.0797,0.1944,-0.1003
601111.SH,34994,23096,2111,-0.0175,1080,-0.0034,0.0481,-0.0572
601136.SH,34994,23096,2089,0.0108,1009,-0.0055,-0.0046,-0.0064
601179.SH,5000,3300,253,-0.1072,152,-0.2757,-0.2679,-0.2846
601216.SH,24996,16497,1512,0.0165,786,0.0069,-0.0336,0.0464
601319.SH,34994,23096,2130,0.0114,1071,0.0093,0.0402,-0.0232
601388.SH,34994,23096,2154,0.0924,1114,0.0782,0.0551,0.1017
601555.SH,34994,23096,2129,-0.001,1070,-0.012,-0.0325,0.0086
601601.SH,34994,23096,1964,0.0225,945,-0.0514,-0.0131,-0.0943
601636.SH,19997,13198,1180,0.0197,540,0.08,0.1344,0.0291
601702.SH,34994,23096,1956,-0.0082,1013,0.072,0.0893,0.0534
601801.SH,34994,23096,2172,0.0344,1087,-0.0146,-0.0633,0.031
601865.SH,5000,3300,296,0.057,145,-0.1749,-0.0733,-0.2931
601899.SH,34994,23096,1986,0.012,993,0.0222,0.0113,0.0332
601956.SH,34994,23096,2151,0.0352,1057,-0.0021,-0.0323,0.0268
601997.SH,34994,23096,2233,0.038,1120,0.0314,0.0344,0.0283
603011.SH,34994,23096,1931,-0.0089,932,-0.2066,-0.1581,-0.2519
603026.SH,34994,23096,1850,0.0105,981,0.0183,0.0927,-0.0623
603041.SH,34994,23096,2037,0.0443,1015,-0.0056,-0.069,0.0565
603061.SH,34994,23096,1902,0.0734,995,0.0483,-0.0382,0.136
603076.SH,19997,13198,1067,0.0257,561,0.0034,0.0578,-0.0591
603089.SH,24996,16497,1442,0.0248,724,-0.0456,-0.0515,-0.04
603103.SH,34994,23096,1843,-0.0096,985,-0.0191,0.0151,-0.055
603116.SH,34994,23096,2026,0.0591,1069,0.0362,0.0252,0.0477
603130.SH,34994,23096,1883,0.0198,1027,0.0705,0.055,0.0857
603158.SH,34994,23096,1967,0.0063,1006,-0.0601,-0.0741,-0.0465
603172.SH,34994,23096,1852,-0.0241,968,-0.0988,-0.1614,-0.0355
603186.SH,34994,23096,1898,0.0478,942,0.0486,0.1376,-0.0474
603203.SH,34994,23096,1910,0.0667,995,0.0283,0.0342,0.0226
603223.SH,34994,23096,2099,0.0412,971,0.0376,0.0616,0.0109
603235.SH,34994,23096,2081,0.005,1010,0.0021,0.025,-0.0226
603267.SH,34994,23096,1910,0.0105,920,-0.1048,-0.1406,-0.0691
603283.SH,34994,23096,1901,-0.0062,989,-0.0016,0.0177,-0.0203
603298.SH,34994,23096,1991,-0.0031,1032,-0.0354,-0.0257,-0.046
603310.SH,34994,23096,2085,0.0255,985,-0.0226,-0.0101,-0.0354
603325.SH,34994,23096,1935,0.0101,1003,-0.0346,-0.0388,-0.0307
603344.SH,34994,23096,1990,0.0343,981,-0.1596,-0.2578,-0.067
603359.SH,34994,23096,1936,0.0189,973,0.023,0.0506,-0.0023
603378.SH,29995,19796,1618,0.0483,832,0.0163,0.1687,-0.1276
603393.SH,34994,23096,1905,-0.0293,960,-0.0118,0.0583,-0.0858
603416.SH,9999,6599,550,-0.0389,267,0.0382,0.0673,0.0102
603500.SH,34994,23096,2051,0.0118,983,-0.0214,-0.1175,0.0745
603529.SH,34994,23096,1942,-0.0014,1022,-0.0091,-0.0169,-0.0015
603569.SH,34994,23096,2133,0.0351,1042,-0.0273,-0.0252,-0.0295
603595.SH,34994,23096,1980,-0.0077,860,0.0245,-0.0078,0.0624
603613.SH,34994,23096,2015,0.0193,1026,0.002,-0.051,0.0531
603657.SH,34994,23096,1884,-0.0104,952,-0.0766,-0.0304,-0.1236
603677.SH,34994,23096,1975,0.019,974,-0.0394,-0.0154,-0.0617
603697.SH,34994,23096,2050,0.0199,1028,0.0142,0.0185,0.0098
603716.SH,34994,23096,1930,0.0079,994,-0.0356,0.0045,-0.0771
603738.SH,34994,23096,1939,0.0527,972,0.0828,-0.0179,0.1848
603778.SH,34994,23096,1665,-0.0355,927,-0.0484,0.1067,-0.2143
603806.SH,34994,23096,1984,-0.0123,1018,0.0228,0.0435,0.0019
603826.SH,34994,23096,1967,0.0064,955,0.0553,0.0329,0.0773
603867.SH,34994,23096,1945,-0.0144,972,-0.0682,-0.049,-0.0872
603885.SH,34994,23096,2032,0.0002,1021,0.0345,0.0805,-0.0146
