sym,n_bars,split,n_train,skill24_train,n_test,skill24_test
600993.SH,34994,23096,410,-0.0112,172,0.0514
601006.SH,34994,23096,1060,0.0584,520,0.0675
601020.SH,5000,3300,64,-0.0297,21,-0.3944
601069.SH,5000,3300,52,-0.2268,22,-0.2139
601111.SH,34994,23096,633,0.0552,359,0.0717
601136.SH,34994,23096,545,0.0006,224,0.0259
601179.SH,5000,3300,58,0.02,22,-0.5564
601216.SH,24996,16497,507,0.0181,281,0.0318
601319.SH,34994,23096,639,0.0122,311,0.0538
601388.SH,34994,23096,864,0.1029,434,0.0162
601555.SH,34994,23096,693,0.0463,294,0.0576
601601.SH,34994,23096,297,0.0155,158,-0.0074
601636.SH,19997,13198,356,0.2002,117,0.0516
601702.SH,34994,23096,321,0.0507,156,0.0715
601801.SH,34994,23096,782,0.0429,410,0.0258
601865.SH,5000,3300,55,-0.3103,26,0.1193
601899.SH,34994,23096,294,-0.0557,153,-0.1475
601956.SH,34994,23096,767,0.0397,322,0.0224
601997.SH,34994,23096,957,0.0628,494,0.0232
603011.SH,34994,23096,304,-0.0464,208,0.0647
603026.SH,34994,23096,290,-0.032,104,-0.3057
603041.SH,34994,23096,367,0.0392,187,-0.0408
603061.SH,34994,23096,257,-0.0554,157,0.0876
603076.SH,19997,13198,157,0.1167,103,-0.0178
603089.SH,24996,16497,297,0.0307,129,0.1961
603103.SH,34994,23096,421,0.0212,167,0.0659
603116.SH,34994,23096,631,-0.0182,221,0.1025
603130.SH,34994,23096,298,0.1005,121,-0.1175
603158.SH,34994,23096,525,-0.0267,133,-0.0555
603172.SH,34994,23096,355,0.0393,152,0.0679
603186.SH,34994,23096,267,0.0208,197,-0.0433
603203.SH,34994,23096,299,0.0524,160,0.0433
603223.SH,34994,23096,564,0.0261,224,-0.0091
603235.SH,34994,23096,357,0.0244,158,0.0389
603267.SH,34994,23096,233,-0.0613,161,-0.1507
603283.SH,34994,23096,271,0.0143,167,-0.2782
603298.SH,34994,23096,283,0.0028,161,0.0291
603310.SH,34994,23096,502,0.0234,231,-0.0312
603325.SH,34994,23096,304,0.0212,153,0.0309
603344.SH,34994,23096,316,0.0622,142,0.1007
603359.SH,34994,23096,623,0.0623,395,-0.1109
603378.SH,29995,19796,467,0.0335,261,-0.0762
603393.SH,34994,23096,345,0.0435,167,-0.1059
603416.SH,9999,6599,65,0.0322,40,0.0171
603500.SH,34994,23096,501,0.0026,198,0.0533
603529.SH,34994,23096,394,0.0223,204,0.0423
603569.SH,34994,23096,725,0.0197,321,0.0273
603595.SH,34994,23096,406,-0.0234,243,0.0005
603613.SH,34994,23096,347,0.032,163,0.0476
603657.SH,34994,23096,296,-0.0459,156,0.0494
603677.SH,34994,23096,393,0.0521,190,-0.085
603697.SH,34994,23096,513,0.015,209,-0.1211
603716.SH,34994,23096,372,0.0165,203,-0.0233
603738.SH,34994,23096,400,0.0644,153,-0.1174
603778.SH,34994,23096,391,-0.1168,209,-0.018
603806.SH,34994,23096,403,-0.0377,183,-0.2237
603826.SH,34994,23096,370,-0.0754,127,-0.0753
603867.SH,34994,23096,293,-0.0305,137,-0.1011
603885.SH,34994,23096,371,-0.0029,250,0.0797
603900.SH,5000,3300,81,-0.1285,43,0.1374
603920.SH,34994,23096,278,0.0246,138,-0.1702
603949.SH,34994,23096,359,0.0089,169,-0.1008
603969.SH,34994,23096,489,0.0242,211,-0.0725
603992.SH,34994,23096,263,-0.1044,157,0.1376
605009.SH,34994,23096,372,0.0369,162,-0.0508
605058.SH,34994,23096,308,-0.0177,132,-0.0044
605108.SH,34994,23096,434,0.025,198,-0.0357
605138.SH,34994,23096,614,0.0589,260,0.03
605186.SH,34994,23096,328,-0.0597,130,-0.0384
605266.SH,34994,23096,390,0.002,198,0.0453
605305.SH,34994,23096,258,0.0078,120,-0.0371
605377.SH,34994,23096,503,0.0038,237,0.0393
605588.SH,34994,23096,242,-0.0046,133,0.0727
688010.SH,34994,23096,225,0.0458,129,0.0169
688023.SH,34994,23096,250,-0.0145,127,-0.2236
688046.SH,9999,6599,75,0.0317,55,-0.0194
688059.SH,34994,23096,224,0.0767,120,-0.0059
688076.SH,24996,16497,220,0.0371,130,0.0109
688090.SH,34994,23096,220,-0.008,112,-0.2804
688103.SH,34994,23096,251,0.0009,139,-0.3371
688122.SH,34994,23096,208,-0.0657,131,0.0812
688135.SH,34994,23096,271,-0.0341,127,-0.0691
688156.SH,34994,23096,280,0.0767,127,-0.056
688171.SH,34994,23096,221,-0.0355,129,0.1688
688188.SH,34994,23096,235,0.0053,112,0.1292
688208.SH,34994,23096,286,-0.0564,140,0.0889
688230.SH,34994,23096,211,0.0183,103,-0.0505
688251.SH,34994,23096,276,0.1181,130,-0.0027
688270.SH,34994,23096,208,-0.1781,111,-0.2874
688283.SH,5000,3300,37,0.5343,17,-0.3183
688303.SH,34994,23096,313,0.0689,175,0.1386
688320.SH,34994,23096,260,0.042,127,-0.0095
688333.SH,34994,23096,238,-0.1933,136,-0.209
688350.SH,34994,23096,278,0.0353,118,-0.1179
688363.SH,34994,23096,309,0.0472,151,-0.0012
688378.SH,34994,23096,241,-0.0178,109,-0.2413
688392.SH,34994,23096,201,0.0063,100,0.2877
688410.SH,34994,23096,364,0.0345,174,0.0596
688439.SH,34994,23096,233,-0.0408,127,-0.0189
688485.SH,34994,23096,291,0.109,112,-0.0664
688510.SH,34994,23096,274,-0.0069,104,-0.1489
688523.SH,34994,23096,209,-0.077,108,0.2306
688551.SH,34994,23096,268,-0.0953,124,-0.1654
688565.SH,34994,23096,343,0.084,161,0.023
688583.SH,34994,23096,203,-0.1169,123,0.0107
688597.SH,34994,23096,430,0.0566,184,-0.1931
688615.SH,34994,23096,197,0.1138,101,-0.1847
688629.SH,34994,23096,235,-0.1487,100,0.0355
688656.SH,34994,23096,204,-0.0137,93,0.3129
688671.SH,34994,23096,276,0.0164,129,-0.0149
688690.SH,34994,23096,291,0.0645,126,0.076
688708.SH,5000,3300,34,-0.0315,12,-0.019
688733.SH,34994,23096,261,-0.0721,110,-0.076
688768.SH,34994,23096,228,0.094,111,-0.0404
688793.SH,34994,23096,352,-0.0376,151,0.0481
920003.BJ,34994,23096,297,0.0535,181,-0.0171
920029.BJ,34994,23096,236,0.0451,127,-0.0491
920056.BJ,34994,23096,303,0.0772,140,0.0694
920077.BJ,5000,3300,38,-0.2938,17,-0.2132
920106.BJ,34994,23096,241,0.0823,136,-0.1456
920132.BJ,34994,23096,308,0.153,172,-0.0085
920171.BJ,34994,23096,243,0.1821,139,0.0398
920190.BJ,34994,23096,269,0.0585,150,0.056
920222.BJ,3374,2226,11,0.6691,13,0.2675
920261.BJ,34994,23096,335,0.0807,167,0.1796
920344.BJ,34994,23096,289,0.0452,148,-0.1851
920402.BJ,34994,23096,371,0.1322,134,-0.0757
920438.BJ,34994,23096,233,0.0195,108,-0.0145
920509.BJ,34994,23096,239,0.0504,131,0.0706
920556.BJ,34994,23096,363,0.095,186,0.1155
920634.BJ,34994,23096,248,0.1454,123,-0.0339
