sym,date,net_pct,cum_net_pct
688392.SH,2025-12-09,0.2553,43.2718
001202.SZ,2025-12-09,0.1513,43.4231
002294.SZ,2025-12-09,1.0754,44.4985
301369.SZ,2025-12-09,0.1161,44.6146
688616.SH,2025-12-09,0.04,44.6546
603236.SH,2025-12-09,0.1556,44.8102
920725.BJ,2025-12-09,-0.5805,44.2297
688244.SH,2025-12-09,0.2525,44.4822
300691.SZ,2025-12-09,-0.0966,44.3856
002173.SZ,2025-12-09,0.0523,44.4379
300664.SZ,2025-12-09,0.137,44.5749
603334.SH,2025-12-09,0.5489,45.1238
300184.SZ,2025-12-09,0.1553,45.2791
688038.SH,2025-12-09,0.8301,46.1092
688619.SH,2025-12-09,0.419,46.5282
001311.SZ,2025-12-09,0.3063,46.8345
002603.SZ,2025-12-09,0.0169,46.8514
603330.SH,2025-12-09,0.7402,47.5916
688670.SH,2025-12-09,3.8624,51.454
600689.SH,2025-12-09,0.9952,52.4492
300736.SZ,2025-12-09,2.2052,54.6544
688608.SH,2025-12-09,0.4143,55.0687
300938.SZ,2025-12-09,0.2563,55.325
300142.SZ,2025-12-09,0.3907,55.7157
000037.SZ,2025-12-09,0.3032,56.0189
600551.SH,2025-12-09,0.079,56.0979
300557.SZ,2025-12-09,0.2317,56.3296
300395.SZ,2025-12-09,2.0812,58.4108
600249.SH,2025-12-09,0.4392,58.85
300264.SZ,2025-12-09,-0.3328,58.5172
300889.SZ,2025-12-09,1.6028,60.12
601088.SH,2025-12-09,-0.0154,60.1046
601128.SH,2025-12-09,0.2386,60.3432
002443.SZ,2025-12-09,0.0858,60.429
601366.SH,2025-12-09,0.1798,60.6088
301203.SZ,2025-12-09,0.1426,60.7514
688252.SH,2025-12-09,0.0946,60.846
603917.SH,2025-12-09,0.5064,61.3524
300547.SZ,2025-12-09,0.4212,61.7736
603282.SH,2025-12-09,0.4134,62.187
300664.SZ,2025-12-09,0.1367,62.3237
000962.SZ,2025-12-09,0.3653,62.689
688392.SH,2025-12-09,0.3941,63.0831
301303.SZ,2025-12-09,-0.04,63.0431
603236.SH,2025-12-09,0.7805,63.8236
300518.SZ,2025-12-09,0.3718,64.1954
300441.SZ,2025-12-09,0.2171,64.4125
688135.SH,2025-12-09,0.2981,64.7106
300368.SZ,2025-12-09,0.2864,64.997
688608.SH,2025-12-09,0.2536,65.2506
300542.SZ,2025-12-09,0.4421,65.6927
300003.SZ,2025-12-09,0.2735,65.9662
000788.SZ,2025-12-09,0.2382,66.2044
603337.SH,2025-12-09,0.2166,66.421
300736.SZ,2025-12-09,1.603,68.024
600845.SH,2025-12-09,0.1973,68.2213
603950.SH,2025-12-09,0.6856,68.9069
002294.SZ,2025-12-09,0.8632,69.7701
300480.SZ,2025-12-09,0.2696,70.0397
920725.BJ,2025-12-09,0.874,70.9137
600689.SH,2025-12-09,0.5731,71.4868
688578.SH,2025-12-09,0.3136,71.8004
603938.SH,2025-12-09,0.1808,71.9812
